,State Name,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,percapita_2015,percapita_2016,percapita_2017,percapita_2018,percapita_2019,percapita_2020,percapita_2021,personal_consumption_2015,personal_consumption_2016,personal_consumption_2017,personal_consumption_2018,personal_consumption_2019,personal_consumption_2020,personal_consumption_2021
27,Nevada,2890845,2940058,2998039,3034392,3080156,3114071,3143991,138121.9,141952.9,146066.4,152411.9,159293.9,148934.1,165264.7,0.047779074976347743,0.04828234681084523,0.04872064706296349,0.05022815114197506,0.05171617931039856,0.047826173520128475,0.052565258615562195,8679.5,8920.0,9338.3,9688.3,10098.1,11079.1,11896.1
28,New Hampshire,1330608,1334795,1342795,1356458,1359711,1377848,1388992,73616.1,73622.7,74396.2,75223.5,76647.1,78884.8,86292.9,0.05532515962627611,0.05515655962151491,0.055403989439936845,0.05545582686673675,0.05637014041954504,0.05725217875992127,0.062126275745288666,4715.8,4863.0,5078.2,5198.1,5367.7,5849.0,6113.8
29,New Jersey,8958013,8944469,9005644,8908520,8882190,9279743,9267130,530144.9,535463.6,540703.9,554688.7,562412.5,545581.5,577172.6,0.05918108178677571,0.059865331301388595,0.06004055900943897,0.06226496657132722,0.06331912512567284,0.0587927381178552,0.06228169886469705,28187.5,28315.6,29008.5,29548.5,30713.9,33192.4,35587.8
30,New Mexico,2085109,2081015,2088070,2095428,2096829,2117566,2115877,89226.0,88938.2,89266.7,91809.4,96648.8,92719.3,95553.3,0.042792007516153835,0.04273789472925471,0.04275081774078455,0.043814151571898434,0.04609283828104247,0.043785789911624955,0.04516013927085554,5860.4,5957.0,6044.9,6155.9,6233.4,6803.5,7338.4
31,New York,19795791,19745289,19849399,19542209,19453561,20154933,19835913,1365521.5,1402596.0,1440659.6,1460076.4,1507658.7,1450628.9,1558037.6,0.06898039588314506,0.0710344629546825,0.0725795073190881,0.07471398960066387,0.07750039697102243,0.07197388847683095,0.07854630134746003,54709.1,55543.9,57599.8,60021.2,62591.2,67398.4,71346.8
32,North Carolina,10042802,10146788,10273419,10383620,10488084,10457177,10551162,476075.1,489494.6,500298.5,503539.3,519260.5,520056.7,555562.7,0.047404608793442306,0.04824133509047395,0.04869834472827401,0.04849361783270189,0.04950956723840122,0.0497320357109763,0.0526541721186728,27532.6,28087.6,29069.8,30106.2,31942.9,36129.0,38305.9
33,North Dakota,756928,757953,755393,760077,762062,778962,774948,55600.0,52671.1,54495.1,55973.3,56333.2,53131.7,53554.2,0.07345480679800456,0.06949124813807717,0.07214138865464731,0.07364161788871391,0.0739220693329414,0.06820833365427324,0.06910683039378125,2284.8,2284.2,2250.8,2273.4,2281.8,2419.0,2598.6
34,Ohio,11613423,11614373,11658609,11689442,11689100,11790587,11780017,581653.6,587939.3,594626.0,602327.2,618234.4,611578.8,641954.1,0.0500845960747318,0.05062169950973677,0.05100316855981704,0.05152745528828493,0.05288982043099982,0.051870089250009355,0.05449517602563731,33735.0,34583.8,36437.7,37074.5,37712.7,40649.5,43004.9
35,Oklahoma,3911338,3923561,3930864,3943079,3956971,3962031,3986639,198501.2,191254.1,194467.3,200285.4,202162.6,192129.8,193515.0,0.05075020363875482,0.04874503034360878,0.04947189727245715,0.05079416364724115,0.05109024048950574,0.04849275535703784,0.04854088870349184,8675.5,8767.2,8970.3,9211.5,9442.0,10339.4,10987.4
36,Oregon,4028977,4093465,4142776,4190713,4217737,4241544,4246155,191988.7,200521.2,209537.7,217120.9,222501.8,219972.1,233718.7,0.047651972200387346,0.048985688163939355,0.05057905616910014,0.051810014190902594,0.052753834580012926,0.05186132691302978,0.05504243250658537,13277.7,13291.3,13683.3,14166.2,14730.5,16361.1,17427.0
